Country,Latitude,Longitude,Battle,Year,Winner,Loser,War_homogenized,Participants_homogenized
Albania,41.153332,20.168331,Albania,1939,Italy,Albania,World War II,"['Albania', ' Italy', 'Bhutan']"
United States,36.0599859,-76.4705667,Albermarle Sound,1864,Confederate States of America,United States,Civil War,"['Azerbaijan', 'North Korea', 'Djibouti']"
France,50.001357,2.651604,Albert,1914,Germany,France,World War I,"['France', 'Germany', 'Yemen', ' France']"
France,50.001357,2.651604,Albert,1916,Draw,Draw,World War I,"['Germany', 'Eritrea']"
France,50.001357,2.651604,Albert,1918,United Kingdom,Germany,World War I,"['Yemen', 'Eritrea', 'Germany', 'Palau']"
Spain,39.3388043,-0.3447564,Albufera,1812,France,Spain,Napoleonic War,"['Slovenia', 'Spain', 'Malaysia', ' France']"
Spain,38.7170277,-6.8230414,Albuhera,1811,"United Kingdom, Spain, Portugal",France,Napoleonic War,"['Slovenia', 'Spain', ' France', 'Albania', 'Eritrea']"
Spain,39.2192059,-7.0000241,Albuquerque,1811,France,Spain,Napoleonic War,"['Slovenia', 'Ghana', ' France', 'Portugal']"
Spain,37.4601627,-3.9351636,Alcala la Real,1810,France,Spain,Napoleonic War,"['Slovenia', ' France', 'Spain']"
Spain,41.0510353,-0.1335373,Alcan~iz,1809,Spain,France,Napoleonic War,"['Slovenia', 'Iran', ' France', 'Spain', ' Turkey', 'Palau']"
Spain,39.7169271,-6.8822281,Alcantara,1809,France,"United Kingdom, Portugal",Napoleonic War,"['Slovenia', 'Portugal', 'Albania', 'Spain', ' France']"
Mexico,27.5522322,-101.1776096,Alcantra,1839,Mexican Federalists,Mexican Centralists,Mexican Federalist War,"['Mexico', 'Honduras', 'Iran', ' India', 'Australia']"
Spain,39.8579033,-4.0225283,Alcazar,1936,Spanish Nationalists,Spanish Republicans,Civil War,"['Spain', 'Albania', 'Togo']"
Spain,36.9730578,-2.9606844,Alcolea,1808,France,Spain,Napoleonic War,"['Slovenia', 'Spain']"
Spain,36.9730578,-2.9606844,Alcolea,1868,Spanish Rebels,Spain,Spanish Revolution,"['Spain', 'Kenya', 'Albania', ' France']"
Portugal,40.4123563,-6.8909318,Aldea del Ponte,1811,"United Kingdom, Portugal",France,Napoleonic War,"['Slovenia', 'Congo', 'Chad', ' India', 'Lebanon']"
United States,38.9756745,-77.6418724,Aldie,1863,Draw,Draw,American Civil War,"['Azerbaijan', 'Germany', 'Lesotho', 'Benin']"
Spain,42.8410353,-2.5126835,Alegria,1834,Spanish Carlists,Spanish Liberals,Carlist War,"['Algeria', 'Spain', 'Nigeria', 'El Salvador']"
Cuba,19.8996456,-77.5223209,Alegria del Pio,1956,Batista Forces,Castro Forces,Cuban War,"['Canada', 'Mexico', 'Nigeria', 'Cuba', 'Algeria']"
Syria,36.2021047,37.1342603,Aleppo,1918,"British, Arab Rebels",Turkey,World War I,"['Palau', 'Eritrea', ' Turkey']"
United States,52.877926,172.6572956,Aleutians,1942,United States,Japan,World War II,"['Norway', 'Japan', 'Albania']"
Egypt,31.2000924,29.9187387,Alexandria (1st),1801,"United Kingdom, Turkey",France,French Revolutionary Wars Middle East,"['France', 'Eritrea', ' Egypt', 'Albania', ' France']"
Egypt,31.2000924,29.9187387,Alexandria (2nd),1801,"United Kingdom, Turkey",France,French Revolutionary Wars Middle East,"['France', 'Albania', 'Eritrea']"
Egypt,31.2000924,29.9187387,Alexandria,1807,Ottoman Empire,United Kingdom,Napoleonic Wars 4th Coalition,"['Slovenia', ' Turkey', ' France', 'Bhutan', 'South Africa', ' Egypt', 'Eritrea']"
Egypt,31.2000924,29.9187387,Alexandria,1882,United Kingdom,Egypt,Arabis Egyptian Rebellion,"['Egypt', ' Egypt', 'Albania', 'Eritrea', 'Sierra Leone', ' Colombia']"
Egypt,31.2000924,29.9187387,Alexandria,1941,Italy,United Kingdom,World War II,['Eritrea']
